institute,branch,years,tier,notes
IIT (BHU) Varanasi,Architecture,"2024,2025",C,
IIT (BHU) Varanasi,Biochemical Engineering,2025,C,
IIT (BHU) Varanasi,Biochemical Engineering with M.Tech. in Biochemical Engineering and Biotechnology,2024,C,
IIT (BHU) Varanasi,Bioengineering,2025,C,
IIT (BHU) Varanasi,Bioengineering with M.Tech in Biomedical Technology,2024,C,
IIT (BHU) Varanasi,Ceramic Engineering,"2024,2025",C,
IIT (BHU) Varanasi,Chemical Engineering,"2024,2025",C,
IIT (BHU) Varanasi,Civil Engineering,"2024,2025",C,
IIT (BHU) Varanasi,Computer Science and Engineering,"2024,2025",A,
IIT (BHU) Varanasi,Electrical Engineering,"2024,2025",A,
IIT (BHU) Varanasi,Electrical Engineering with M.Tech. in Power Electronics,2024,A,
IIT (BHU) Varanasi,Electronics Engineering,"2024,2025",A,
IIT (BHU) Varanasi,Engineering Physics,"2024,2025",A,
IIT (BHU) Varanasi,Industrial Chemistry,"2024,2025",C,
IIT (BHU) Varanasi,Materials Science and Technology,"2024,2025",C,
IIT (BHU) Varanasi,Mathematics and Computing,"2024,2025",A,
IIT (BHU) Varanasi,Mechanical Engineering,"2024,2025",C,
IIT (BHU) Varanasi,Metallurgical Engineering,"2024,2025",C,
IIT (BHU) Varanasi,Mining Engineering,"2024,2025",C,
IIT (BHU) Varanasi,Pharmaceutical Engineering & Technology,"2024,2025",C,
IIT (ISM) Dhanbad,Applied Geology,"2024,2025",C,
IIT (ISM) Dhanbad,Applied Geophysics,"2024,2025",C,
IIT (ISM) Dhanbad,B.Tech Mining Engineering and MBA in Logistic and Supply Chain Management (IIM Mumbai),2025,C,Core branch + MBA — MBA helps with management/consulting roles but not CS-pool placements
IIT (ISM) Dhanbad,Chemical Engineering,"2024,2025",C,
IIT (ISM) Dhanbad,Chemical Science,2025,,Brand-new 5yr Integrated BS-MS; no placement track record yet
IIT (ISM) Dhanbad,Civil Engineering,"2024,2025",C,
IIT (ISM) Dhanbad,Computer Science and Engineering,"2024,2025",A,
IIT (ISM) Dhanbad,Electrical Engineering,"2024,2025",A,
IIT (ISM) Dhanbad,Electronics and Communication Engineering,"2024,2025",A,
IIT (ISM) Dhanbad,Engineering Physics,"2024,2025",A,
IIT (ISM) Dhanbad,Environmental Engineering,"2024,2025",C,
IIT (ISM) Dhanbad,Mathematics and Computing,"2024,2025",A,
IIT (ISM) Dhanbad,Mechanical Engineering,"2024,2025",C,
IIT (ISM) Dhanbad,Mineral and Metallurgical Engineering,"2024,2025",C,
IIT (ISM) Dhanbad,Mining Engineering,"2024,2025",C,
IIT (ISM) Dhanbad,Mining Machinery Engineering,"2024,2025",C,
IIT (ISM) Dhanbad,Petroleum Engineering,"2024,2025",C,
IIT (ISM) Dhanbad,Physical Science,2025,,Brand-new 5yr Integrated BS-MS; no placement track record yet
IIT Bhilai,Computer Science and Engineering,"2024,2025",B,CS core at newer IIT — pool likely but median can materially lag top IITs
IIT Bhilai,Data Science and Artificial Intelligence,"2024,2025",B,CS core at newer IIT — pool likely but median can materially lag top IITs
IIT Bhilai,Electrical Engineering,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Bhilai,Electronics and Communication Engineering,"2024,2025",B,CS-pool branch at newer IIT — spillover real but less reliable than at established IITs
IIT Bhilai,Materials Science and Metallurgical Engineering,"2024,2025",C,
IIT Bhilai,Mechanical Engineering,"2024,2025",C,
IIT Bhilai,Mechatronics Engineering,"2024,2025",C,
IIT Bhubaneswar,Civil Engineering,"2024,2025",C,
IIT Bhubaneswar,Computer Science and Engineering,"2024,2025",A,
IIT Bhubaneswar,Electrical Engineering,"2024,2025",A,
IIT Bhubaneswar,Electronics and Communication Engineering,"2024,2025",A,
IIT Bhubaneswar,Engineering Physics,"2024,2025",A,
IIT Bhubaneswar,Mathematics and Computing,2025,A,
IIT Bhubaneswar,Mechanical Engineering,"2024,2025",C,
IIT Bhubaneswar,Metallurgical and Materials Engineering,"2024,2025",C,
